AITFC,9045160,-6.61228,108.320697,26870,0,1,109.7,447.3,CTV762,A320,PK-GQE,CGK,SOC,1702348040
AITFC,9044448,-5.983406,106.693773,11670,3712,1,82.3,337.0,GIA608,B738,PK-GMF,CGK,PLW,1702348041
AITFC,9045559,-6.476257,107.063304,12313,3072,1,110.7,362.4,BTK7309,A320,PK-LUS,HLP,DPS,1702348042
AITFC,9044737,-6.876617,108.942711,27720,704,1,313.5,423.0,CTV775,A320,PK-GLI,YIA,CGK,1702348043
AITFC,9046067,-6.136609,107.246925,22945,1536,1,113.2,399.2,BTK6050,B738,PK-LDP,CGK,DPS,1702348044
AITFC,9045280,-6.543755,107.684484,21363,1344,1,100.0,413.3,BTK7513,A320,PK-LAY,HLP,SUB,1702348045
AITFC,9045160,-6.615738,108.330502,26845,-64,1,109.7,447.3,CTV762,A320,PK-GQE,CGK,SOC,1702348046
AITFC,9044448,-5.98201,106.703967,11995,3456,1,82.3,335.0,GIA608,B738,PK-GMF,CGK,PLW,1702348047
AITFC,9045559,-6.479885,107.072801,12613,2496,1,110.9,361.8,BTK7309,A320,PK-LUS,HLP,DPS,1702348048
AITFC,9044737,-6.867416,108.932981,27795,640,1,313.5,424.4,CTV775,A320,PK-GLI,YIA,CGK,1702348049
AITFC,9046067,-6.140985,107.257154,23095,1536,1,113.2,401.4,BTK6050,B738,PK-LDP,CGK,DPS,1702348050
AITFC,9045280,-6.545883,107.696507,21513,1600,1,100.0,414.3,BTK7513,A320,PK-LAY,HLP,SUB,1702348051
AITFC,9045160,-6.618439,108.337904,26845,0,1,109.7,447.3,CTV762,A320,PK-GQE,CGK,SOC,1702348052
AITFC,9044448,-5.980938,106.711673,12270,2880,1,82.1,335.2,GIA608,B738,PK-GMF,CGK,PLW,1702348053
AITFC,9045559,-6.483563,107.082414,12813,2176,1,110.8,362.7,BTK7309,A320,PK-LUS,HLP,DPS,1702348054
AITFC,9044737,-6.858308,108.923382,27845,384,1,313.4,426.6,CTV775,A320,PK-GLI,YIA,CGK,1702348055
AITFC,9046067,-6.145733,107.26814,23245,1664,1,113.3,402.7,BTK6050,B738,PK-LDP,CGK,DPS,1702348056
AITFC,9045280,-6.547806,107.707494,21688,1600,1,100.0,413.3,BTK7513,A320,PK-LAY,HLP,SUB,1702348057
AITFC,9045160,-6.624619,108.355128,26870,0,1,109.7,447.3,CTV762,A320,PK-GQE,CGK,SOC,1702348058
AITFC,9044448,-5.980007,106.718445,12495,2624,1,81.9,335.3,GIA608,B738,PK-GMF,CGK,PLW,1702348059
AITFC,9045559,-6.487289,107.092352,13013,1536,1,110.7,365.5,BTK7309,A320,PK-LUS,HLP,DPS,1702348060
AITFC,9044737,-6.850204,108.914826,27870,192,1,313.4,429.4,CTV775,A320,PK-GLI,YIA,CGK,1702348061
AITFC,9046067,-6.150156,107.278463,23395,1600,1,113.1,404.6,BTK6050,B738,PK-LDP,CGK,DPS,1702348062
AITFC,9045280,-6.549807,107.718911,21838,1408,1,100.0,413.3,BTK7513,A320,PK-LAY,HLP,SUB,1702348063
AITFC,9045160,-6.629365,108.36843,26845,0,1,109.7,448.2,CTV762,A320,PK-GQE,CGK,SOC,1702348064
AITFC,9044448,-5.980007,106.718445,12695,2624,1,81.9,335.3,GIA608,B738,PK-GMF,CGK,PLW,1702348065
AITFC,9045559,-6.491291,107.103156,13188,1728,1,110.4,368.0,BTK7309,A320,PK-LUS,HLP,DPS,1702348066
AITFC,9044737,-6.842108,108.906239,27870,0,1,313.4,432.2,CTV775,A320,PK-GLI,YIA,CGK,1702348067
AITFC,9046067,-6.153973,107.287461,23520,1664,1,113.2,405.9,BTK6050,B738,PK-LDP,CGK,DPS,1702348068
AITFC,9045280,-6.55188,107.730397,21963,1216,1,100.0,414.3,BTK7513,A320,PK-LAY,HLP,SUB,1702348069
AITFC,9045160,-6.633042,108.378659,26845,0,1,109.7,448.2,CTV762,A320,PK-GQE,CGK,SOC,1702348070
AITFC,9044448,-5.980007,106.718445,12695,2624,1,81.9,335.3,GIA608,B738,PK-GMF,CGK,PLW,1702348071
AITFC,9045559,-6.494843,107.112928,13413,2304,1,110.0,369.2,BTK7309,A320,PK-LUS,HLP,DPS,1702348072
AITFC,9044737,-6.833775,108.897479,27870,-64,1,313.4,435.0,CTV775,A320,PK-GLI,YIA,CGK,1702348073
AITFC,9046067,-6.15921,107.299603,23695,1664,1,113.2,406.8,BTK6050,B738,PK-LDP,CGK,DPS,1702348074
AITFC,9045280,-6.55395,107.74221,22088,1088,1,100.1,415.5,BTK7513,A320,PK-LAY,HLP,SUB,1702348075
AITFC,9045160,-6.637837,108.391966,26845,0,1,109.8,448.5,CTV762,A320,PK-GQE,CGK,SOC,1702348076
AITFC,9044448,-5.976283,106.744679,13095,2496,1,81.9,342.4,GIA608,B738,PK-GMF,CGK,PLW,1702348077
AITFC,9045559,-6.498276,107.122472,13663,2496,1,109.6,369.4,BTK7309,A320,PK-LUS,HLP,DPS,1702348078
AITFC,9044737,-6.825577,108.888757,27845,0,1,313.4,437.9,CTV775,A320,PK-GLI,YIA,CGK,1702348079
AITFC,9046067,-6.163651,107.310031,23845,1536,1,113.2,408.1,BTK6050,B738,PK-LDP,CGK,DPS,1702348080
AITFC,9045280,-6.556091,107.754048,22188,1024,1,100.1,416.4,BTK7513,A320,PK-LAY,HLP,SUB,1702348081
AITFC,9045160,-6.642059,108.403729,26845,0,1,109.8,448.5,CTV762,A320,PK-GQE,CGK,SOC,1702348082
AITFC,9044448,-5.976283,106.744679,13245,2304,1,82.0,344.4,GIA608,B738,PK-GMF,CGK,PLW,1702348083
AITFC,9045559,-6.501718,107.132279,13913,2432,1,109.3,369.7,BTK7309,A320,PK-LUS,HLP,DPS,1702348084
AITFC,9044737,-6.817017,108.879721,27845,0,1,313.4,439.3,CTV775,A320,PK-GLI,YIA,CGK,1702348085
AITFC,9046067,-6.167985,107.320136,23995,1600,1,113.2,409.0,BTK6050,B738,PK-LDP,CGK,DPS,1702348086
AITFC,9045280,-6.55814,107.76565,22288,1088,1,100.1,417.4,BTK7513,A320,PK-LAY,HLP,SUB,1702348088
AITFC,9045160,-6.646683,108.41667,26845,0,1,109.8,448.5,CTV762,A320,PK-GQE,CGK,SOC,1702348089
AITFC,9044448,-5.972699,106.770109,13545,2176,1,81.9,347.5,GIA608,B738,PK-GMF,CGK,PLW,1702348090
AITFC,9045559,-6.505163,107.142366,14138,2112,1,108.9,370.0,BTK7309,A320,PK-LUS,HLP,DPS,1702348091
AITFC,9044737,-6.807312,108.869484,27845,0,1,313.4,440.7,CTV775,A320,PK-GLI,YIA,CGK,1702348092
